month,type,rho
1,new_to_new,95
2,new_to_new,94.5
3,new_to_new,93.5
4,new_to_new,92.5
5,new_to_new,91.5
6,new_to_new,90
7,new_to_new,88.5
8,new_to_new,87
9,new_to_new,85.5
10,new_to_new,84
11,new_to_new,82.5
12,new_to_new,80.5
13,new_to_new,78
14,new_to_new,76
15,new_to_new,74
16,new_to_new,71
17,new_to_new,68
18,new_to_new,64
19,new_to_new,60
20,new_to_new,56.5
21,new_to_new,53
22,new_to_new,49
23,new_to_new,45
24,new_to_new,40
25,new_to_new,36
26,new_to_new,32
27,new_to_new,28
28,new_to_new,24
29,new_to_new,20
30,new_to_new,17
31,new_to_new,14
32,new_to_new,11
33,new_to_new,8
34,new_to_new,6
35,new_to_new,4
36,new_to_new,3
37,new_to_new,2
38,new_to_new,1
39,new_to_new,0
40,new_to_new,0
1,prev_to_new,64
2,prev_to_new,63.5
3,prev_to_new,62
4,prev_to_new,61
5,prev_to_new,60
6,prev_to_new,58
7,prev_to_new,55
8,prev_to_new,52
9,prev_to_new,48
10,prev_to_new,42
11,prev_to_new,36
12,prev_to_new,29
13,prev_to_new,23
14,prev_to_new,16
15,prev_to_new,10
16,prev_to_new,5
17,prev_to_new,2
18,prev_to_new,1
19,prev_to_new,0
20,prev_to_new,0
21,prev_to_new,0
22,prev_to_new,0
23,prev_to_new,0
24,prev_to_new,0
25,prev_to_new,0
26,prev_to_new,0
27,prev_to_new,0
28,prev_to_new,0
29,prev_to_new,0
30,prev_to_new,0
31,prev_to_new,0
32,prev_to_new,0
33,prev_to_new,0
34,prev_to_new,0
35,prev_to_new,0
36,prev_to_new,0
37,prev_to_new,0
38,prev_to_new,0
39,prev_to_new,0
40,prev_to_new,0
