strain,date,percentage
delta,8/03/2021,0
delta,15/03/2021,1
delta,22/03/2021,1
delta,29/03/2021,1.1
delta,5/04/2021,1.6
delta,12/04/2021,9.5
delta,19/04/2021,14
delta,26/04/2021,17.9
delta,3/05/2021,19.2
delta,10/05/2021,17.6
delta,17/05/2021,25.7
delta,24/05/2021,22
delta,31/05/2021,26.2
delta,7/06/2021,36.4
delta,14/06/2021,52.6
delta,21/06/2021,63
delta,28/06/2021,71.2
delta,5/07/2021,78.5
delta,12/07/2021,84
delta,19/07/2021,88.5
delta,26/07/2021,91.7
delta,2/08/2021,94
delta,9/08/2021,95.7
delta,16/08/2021,96.9
delta,23/08/2021,97.8
delta,30/08/2021,98.4
delta,6/09/2021,98.8
delta,13/09/2021,98.9
delta,20/09/2021,99
delta,27/09/2021,99.3
delta,4/10/2021,99.4
delta,11/10/2021,99.5
delta,18/10/2021,99.6
delta,25/10/2021,99.7
delta,1/11/2021,99.8
delta,8/11/2021,99.9
omicron,15/11/2021,0
delta,15/11/2021,99.9
omicron,22/11/2021,0.1
omicron,29/11/2021,0.9
omicron,6/12/2021,5.1
omicron,13/12/2021,15.9
omicron,20/12/2021,31.2
omicron,27/12/2021,46.8
omicron,3/01/2022,60.6
omicron,10/01/2022,70.7
omicron,17/01/2022,77.9
omicron,24/01/2022,83.7
omicron,31/01/2022,88.1
omicron,7/02/2022,91.5
omicron,14/02/2022,93.9
omicron,21/02/2022,95.6
omicron,28/02/2022,96.7
omicron,7/03/2022,97.6
omicron,14/03/2022,98.1
omicron,21/03/2022,98.5
omicron,28/03/2022,98.9
omicron,4/04/2022,99.2
omicron,11/04/2022,99.3
omicron,18/04/2022,99.4
omicron,25/04/2022,99.5
omicron,2/05/2022,99.6
omicron,9/05/2022,99.7
omicron,16/05/2022,99.9
