ISO,Country,Subject Descriptor,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
FJI,Fiji,"Gross domestic product, deflator",Index,82.007,89.713,92.921,96.286,100,102.53,105.231,107.018,108.544,110.979,109.63,105.851,110.635,114.508,117.943,2021
FJI,Fiji,Implied PPP conversion rate,National currency per current international dollar,0.885,0.949,0.93,0.935,0.932,0.911,0.937,0.939,0.93,0.934,0.911,0.842,0.822,0.82,0.826,2021
IDN,Indonesia,"Gross domestic product, deflator",Index,100,107.466,111.5,117.037,123.408,128.32,131.449,137.092,142.327,144.602,144.021,152.667,167.274,174.604,179.899,2022
IDN,Indonesia,Implied PPP conversion rate,National currency per current international dollar,"3,336.63","3,512.75","3,569.89","3,765.67","4,030.78","4,353.33","4,518.10","4,695.66","4,760.50","4,751.38","4,671.33","4,738.91","4,852.38","4,878.55","4,917.56",2022
PNG,Papua New Guinea,"Gross domestic product, deflator",Index,89.215,97.095,96.537,100,105.437,104.142,106.762,114.982,126.247,127.588,129.673,145.108,165.389,166.376,169.424,2020
PNG,Papua New Guinea,Implied PPP conversion rate,National currency per current international dollar,2.005,2.138,2.087,2.124,2.199,2.15,2.182,2.307,2.473,2.455,2.463,2.638,2.81,2.723,2.712,2020
TLS,Timor-Leste,"Gross domestic product, deflator",Index,68.016,75.882,80.561,94.001,93.28,100,100.135,99.858,98.546,103.96,106.149,102.005,109.151,115.154,120.336,2021
TLS,Timor-Leste,Implied PPP conversion rate,National currency per current international dollar,0.416,0.455,0.437,0.487,0.453,0.458,0.432,0.409,0.394,0.407,0.324,0.494,0.488,0.392,0.393,2021
USA,United States,"Gross domestic product, deflator",Index,96.166,98.164,100,101.751,103.654,104.691,105.74,107.749,110.339,112.318,113.784,118.895,127.224,132.087,135.013,2022
